status file for recon-all
Tue Jan  2 06:34:37 UTC 2018
#@# MotionCor Tue Jan  2 06:34:49 UTC 2018
#@# Talairach Tue Jan  2 06:35:28 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 06:44:46 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 06:44:47 UTC 2018
#@# Intensity Normalization Tue Jan  2 06:55:26 UTC 2018
#@# Skull Stripping Tue Jan  2 07:03:04 UTC 2018
#@# EM Registration Tue Jan  2 08:24:22 UTC 2018
#@# CA Normalize Tue Jan  2 09:14:14 UTC 2018
#@# CA Reg Tue Jan  2 09:19:57 UTC 2018
#@# SubCort Seg Tue Jan  2 18:24:35 UTC 2018
#@# Merge ASeg Tue Jan  2 21:19:59 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 21:19:59 UTC 2018
#@# Mask BFS Tue Jan  2 21:29:35 UTC 2018
#@# WM Segmentation Tue Jan  2 21:29:39 UTC 2018
#@# Fill Tue Jan  2 21:35:38 UTC 2018
#@# Tessellate lh Tue Jan  2 21:38:00 UTC 2018
#@# Tessellate rh Tue Jan  2 21:38:17 UTC 2018
#@# Smooth1 lh Tue Jan  2 21:38:33 UTC 2018
#@# Smooth1 rh Tue Jan  2 21:38:46 UTC 2018
#@# Inflation1 lh Tue Jan  2 21:39:00 UTC 2018
#@# Inflation1 rh Tue Jan  2 21:40:26 UTC 2018
#@# QSphere lh Tue Jan  2 21:41:44 UTC 2018
#@# QSphere rh Tue Jan  2 21:49:59 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 21:58:10 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 21:58:10 UTC 2018
#@# Fix Topology lh Tue Jan  2 21:58:10 UTC 2018
#@# Fix Topology rh Wed Jan  3 00:05:06 UTC 2018
#@# Make White Surf lh Wed Jan  3 02:38:13 UTC 2018
#@# Make White Surf rh Wed Jan  3 02:49:57 UTC 2018
#@# Smooth2 lh Wed Jan  3 03:02:12 UTC 2018
#@# Smooth2 rh Wed Jan  3 03:02:24 UTC 2018
#@# Inflation2 lh Wed Jan  3 03:02:38 UTC 2018
#@# Inflation2 rh Wed Jan  3 03:04:03 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 03:05:44 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 03:10:36 UTC 2018
#@# Curvature Stats lh Wed Jan  3 03:15:52 UTC 2018
#@# Curvature Stats rh Wed Jan  3 03:16:05 UTC 2018
#@# Sphere lh Wed Jan  3 03:16:19 UTC 2018
#@# Sphere rh Wed Jan  3 05:15:54 UTC 2018
#@# Surf Reg lh Wed Jan  3 07:26:02 UTC 2018
#@# Surf Reg rh Wed Jan  3 09:14:57 UTC 2018
#@# Jacobian white lh Wed Jan  3 10:55:41 UTC 2018
#@# Jacobian white rh Wed Jan  3 10:55:44 UTC 2018
#@# AvgCurv lh Wed Jan  3 10:55:49 UTC 2018
#@# AvgCurv rh Wed Jan  3 10:55:52 UTC 2018
#@# Cortical Parc lh Wed Jan  3 10:55:55 UTC 2018
#@# Cortical Parc rh Wed Jan  3 10:56:29 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 10:56:59 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 11:28:06 UTC 2018
#@# Surf Volume lh Wed Jan  3 11:56:33 UTC 2018
#@# Surf Volume rh Wed Jan  3 11:56:39 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 11:56:45 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 12:25:59 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 12:28:46 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 12:31:36 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 12:32:12 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 12:32:50 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 12:34:12 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 12:35:41 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 12:36:10 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 12:36:41 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 12:37:59 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 12:39:23 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 12:39:35 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 12:39:46 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 12:40:38 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 12:51:34 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 13:02:25 UTC 2018
#@# APas-to-ASeg Wed Jan  3 13:12:40 UTC 2018
#@# ASeg Stats Wed Jan  3 13:12:55 UTC 2018
#@# WMParc Wed Jan  3 13:20:10 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 13:39:27 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 13:48:33 UTC 2018
recon-all -s 3316 finished without error at Wed Jan  3 13:57:53 UTC 2018
