status file for recon-all
Mon Jan  8 20:03:02 UTC 2018
#@# MotionCor Mon Jan  8 20:03:07 UTC 2018
#@# Talairach Mon Jan  8 20:03:28 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 20:07:47 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 20:07:47 UTC 2018
#@# Intensity Normalization Mon Jan  8 20:14:27 UTC 2018
#@# Skull Stripping Mon Jan  8 20:20:43 UTC 2018
#@# EM Registration Mon Jan  8 21:08:51 UTC 2018
#@# CA Normalize Mon Jan  8 21:46:06 UTC 2018
#@# CA Reg Mon Jan  8 21:49:54 UTC 2018
#@# SubCort Seg Tue Jan  9 06:06:38 UTC 2018
#@# Merge ASeg Tue Jan  9 08:24:05 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 08:24:05 UTC 2018
#@# Mask BFS Tue Jan  9 08:32:38 UTC 2018
#@# WM Segmentation Tue Jan  9 08:32:42 UTC 2018
#@# Fill Tue Jan  9 08:37:23 UTC 2018
#@# Tessellate lh Tue Jan  9 08:39:26 UTC 2018
#@# Tessellate rh Tue Jan  9 08:39:40 UTC 2018
#@# Smooth1 lh Tue Jan  9 08:39:53 UTC 2018
#@# Smooth1 rh Tue Jan  9 08:40:04 UTC 2018
#@# Inflation1 lh Tue Jan  9 08:40:15 UTC 2018
#@# Inflation1 rh Tue Jan  9 08:41:23 UTC 2018
#@# QSphere lh Tue Jan  9 08:42:33 UTC 2018
#@# QSphere rh Tue Jan  9 08:51:23 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 09:00:09 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 09:00:09 UTC 2018
#@# Fix Topology lh Tue Jan  9 09:00:09 UTC 2018
#@# Fix Topology rh Tue Jan  9 09:14:54 UTC 2018
#@# Make White Surf lh Tue Jan  9 09:35:00 UTC 2018
#@# Make White Surf rh Tue Jan  9 09:45:53 UTC 2018
#@# Smooth2 lh Tue Jan  9 09:56:59 UTC 2018
#@# Smooth2 rh Tue Jan  9 09:57:10 UTC 2018
#@# Inflation2 lh Tue Jan  9 09:57:21 UTC 2018
#@# Inflation2 rh Tue Jan  9 09:58:30 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 09:59:41 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 10:02:24 UTC 2018
#@# Curvature Stats lh Tue Jan  9 10:05:06 UTC 2018
#@# Curvature Stats rh Tue Jan  9 10:05:14 UTC 2018
#@# Sphere lh Tue Jan  9 10:05:22 UTC 2018
#@# Sphere rh Tue Jan  9 11:42:01 UTC 2018
#@# Surf Reg lh Tue Jan  9 13:13:56 UTC 2018
#@# Surf Reg rh Tue Jan  9 14:50:07 UTC 2018
#@# Jacobian white lh Tue Jan  9 16:31:30 UTC 2018
#@# Jacobian white rh Tue Jan  9 16:31:33 UTC 2018
#@# AvgCurv lh Tue Jan  9 16:31:37 UTC 2018
#@# AvgCurv rh Tue Jan  9 16:31:41 UTC 2018
#@# Cortical Parc lh Tue Jan  9 16:31:45 UTC 2018
#@# Cortical Parc rh Tue Jan  9 16:32:21 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 16:32:55 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 17:03:33 UTC 2018
#@# Surf Volume lh Tue Jan  9 17:33:22 UTC 2018
#@# Surf Volume rh Tue Jan  9 17:33:30 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 17:33:37 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 18:01:47 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 18:04:52 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 18:08:07 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 18:08:53 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 18:09:39 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 18:11:15 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 18:12:56 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 18:13:35 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 18:14:10 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 18:15:45 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 18:17:16 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 18:17:31 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 18:17:45 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 18:18:48 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 18:32:04 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 18:44:33 UTC 2018
#@# APas-to-ASeg Tue Jan  9 18:57:05 UTC 2018
#@# ASeg Stats Tue Jan  9 18:57:25 UTC 2018
#@# WMParc Tue Jan  9 19:09:17 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 19:37:15 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 19:48:17 UTC 2018
recon-all -s 3536 finished without error at Tue Jan  9 19:59:36 UTC 2018
