status file for recon-all
Tue Jan  2 06:33:24 UTC 2018
#@# MotionCor Tue Jan  2 06:33:36 UTC 2018
#@# Talairach Tue Jan  2 06:34:06 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 06:40:52 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 06:40:52 UTC 2018
#@# Intensity Normalization Tue Jan  2 06:51:37 UTC 2018
#@# Skull Stripping Tue Jan  2 06:59:43 UTC 2018
#@# EM Registration Tue Jan  2 08:15:43 UTC 2018
#@# CA Normalize Tue Jan  2 09:22:31 UTC 2018
#@# CA Reg Tue Jan  2 09:28:24 UTC 2018
#@# SubCort Seg Tue Jan  2 18:55:59 UTC 2018
#@# Merge ASeg Tue Jan  2 21:15:04 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 21:15:04 UTC 2018
#@# Mask BFS Tue Jan  2 21:24:34 UTC 2018
#@# WM Segmentation Tue Jan  2 21:24:40 UTC 2018
#@# Fill Tue Jan  2 21:30:12 UTC 2018
#@# Tessellate lh Tue Jan  2 21:32:25 UTC 2018
#@# Tessellate rh Tue Jan  2 21:32:40 UTC 2018
#@# Smooth1 lh Tue Jan  2 21:32:57 UTC 2018
#@# Smooth1 rh Tue Jan  2 21:33:07 UTC 2018
#@# Inflation1 lh Tue Jan  2 21:33:19 UTC 2018
#@# Inflation1 rh Tue Jan  2 21:34:31 UTC 2018
#@# QSphere lh Tue Jan  2 21:35:41 UTC 2018
#@# QSphere rh Tue Jan  2 21:43:21 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 21:51:01 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 21:51:02 UTC 2018
#@# Fix Topology lh Tue Jan  2 21:51:02 UTC 2018
#@# Fix Topology rh Tue Jan  2 22:52:20 UTC 2018
#@# Make White Surf lh Tue Jan  2 23:45:59 UTC 2018
#@# Make White Surf rh Tue Jan  2 23:56:35 UTC 2018
#@# Smooth2 lh Wed Jan  3 00:07:29 UTC 2018
#@# Smooth2 rh Wed Jan  3 00:07:39 UTC 2018
#@# Inflation2 lh Wed Jan  3 00:07:50 UTC 2018
#@# Inflation2 rh Wed Jan  3 00:08:57 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 00:10:04 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 00:12:41 UTC 2018
#@# Curvature Stats lh Wed Jan  3 00:15:29 UTC 2018
#@# Curvature Stats rh Wed Jan  3 00:15:35 UTC 2018
#@# Sphere lh Wed Jan  3 00:15:43 UTC 2018
#@# Sphere rh Wed Jan  3 01:39:51 UTC 2018
#@# Surf Reg lh Wed Jan  3 02:43:11 UTC 2018
#@# Surf Reg rh Wed Jan  3 04:26:41 UTC 2018
#@# Jacobian white lh Wed Jan  3 06:02:34 UTC 2018
#@# Jacobian white rh Wed Jan  3 06:02:38 UTC 2018
#@# AvgCurv lh Wed Jan  3 06:02:42 UTC 2018
#@# AvgCurv rh Wed Jan  3 06:02:46 UTC 2018
#@# Cortical Parc lh Wed Jan  3 06:02:49 UTC 2018
#@# Cortical Parc rh Wed Jan  3 06:03:19 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 06:03:51 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 06:34:02 UTC 2018
#@# Surf Volume lh Wed Jan  3 07:04:16 UTC 2018
#@# Surf Volume rh Wed Jan  3 07:04:23 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 07:04:29 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 07:31:11 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 07:34:19 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 07:37:47 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 07:38:33 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 07:39:19 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 07:40:54 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 07:42:36 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 07:43:15 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 07:43:51 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 07:45:30 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 07:47:12 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 07:47:25 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 07:47:40 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 07:48:39 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 08:02:29 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 08:15:10 UTC 2018
#@# APas-to-ASeg Wed Jan  3 08:27:47 UTC 2018
#@# ASeg Stats Wed Jan  3 08:28:06 UTC 2018
#@# WMParc Wed Jan  3 08:38:07 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 09:03:12 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 09:14:08 UTC 2018
recon-all -s 3309 finished without error at Wed Jan  3 09:25:05 UTC 2018
