status file for recon-all
Tue Jan  2 06:33:09 UTC 2018
#@# MotionCor Tue Jan  2 06:33:19 UTC 2018
#@# Talairach Tue Jan  2 06:33:47 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 06:40:15 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 06:40:16 UTC 2018
#@# Intensity Normalization Tue Jan  2 06:51:23 UTC 2018
#@# Skull Stripping Tue Jan  2 06:59:18 UTC 2018
#@# EM Registration Tue Jan  2 08:35:57 UTC 2018
#@# CA Normalize Tue Jan  2 09:29:53 UTC 2018
#@# CA Reg Tue Jan  2 09:35:03 UTC 2018
#@# SubCort Seg Tue Jan  2 18:15:30 UTC 2018
#@# Merge ASeg Tue Jan  2 21:10:19 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 21:10:19 UTC 2018
#@# Mask BFS Tue Jan  2 21:19:57 UTC 2018
#@# WM Segmentation Tue Jan  2 21:20:05 UTC 2018
#@# Fill Tue Jan  2 21:25:38 UTC 2018
#@# Tessellate lh Tue Jan  2 21:27:46 UTC 2018
#@# Tessellate rh Tue Jan  2 21:28:03 UTC 2018
#@# Smooth1 lh Tue Jan  2 21:28:18 UTC 2018
#@# Smooth1 rh Tue Jan  2 21:28:33 UTC 2018
#@# Inflation1 lh Tue Jan  2 21:28:47 UTC 2018
#@# Inflation1 rh Tue Jan  2 21:30:17 UTC 2018
#@# QSphere lh Tue Jan  2 21:31:42 UTC 2018
#@# QSphere rh Tue Jan  2 21:41:34 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 21:51:28 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 21:51:28 UTC 2018
#@# Fix Topology lh Tue Jan  2 21:51:28 UTC 2018
#@# Fix Topology rh Tue Jan  2 23:03:40 UTC 2018
#@# Make White Surf lh Wed Jan  3 00:04:03 UTC 2018
#@# Make White Surf rh Wed Jan  3 00:17:40 UTC 2018
#@# Smooth2 lh Wed Jan  3 00:31:58 UTC 2018
#@# Smooth2 rh Wed Jan  3 00:32:13 UTC 2018
#@# Inflation2 lh Wed Jan  3 00:32:27 UTC 2018
#@# Inflation2 rh Wed Jan  3 00:34:00 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 00:35:34 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 00:39:07 UTC 2018
#@# Curvature Stats lh Wed Jan  3 00:42:39 UTC 2018
#@# Curvature Stats rh Wed Jan  3 00:42:49 UTC 2018
#@# Sphere lh Wed Jan  3 00:42:59 UTC 2018
#@# Sphere rh Wed Jan  3 02:53:48 UTC 2018
#@# Surf Reg lh Wed Jan  3 05:10:21 UTC 2018
#@# Surf Reg rh Wed Jan  3 07:09:37 UTC 2018
#@# Jacobian white lh Wed Jan  3 09:32:09 UTC 2018
#@# Jacobian white rh Wed Jan  3 09:32:14 UTC 2018
#@# AvgCurv lh Wed Jan  3 09:32:17 UTC 2018
#@# AvgCurv rh Wed Jan  3 09:32:21 UTC 2018
#@# Cortical Parc lh Wed Jan  3 09:32:25 UTC 2018
#@# Cortical Parc rh Wed Jan  3 09:33:02 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 09:33:38 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 10:09:26 UTC 2018
#@# Surf Volume lh Wed Jan  3 10:45:10 UTC 2018
#@# Surf Volume rh Wed Jan  3 10:45:18 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 10:45:28 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 11:22:10 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 11:25:34 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 11:29:13 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 11:30:01 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 11:30:46 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 11:32:34 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 11:34:16 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 11:34:47 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 11:35:25 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 11:37:02 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 11:38:36 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 11:38:52 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 11:39:07 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 11:40:06 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 11:50:32 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 11:59:53 UTC 2018
#@# APas-to-ASeg Wed Jan  3 12:09:30 UTC 2018
#@# ASeg Stats Wed Jan  3 12:09:46 UTC 2018
#@# WMParc Wed Jan  3 12:18:18 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 12:41:21 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 12:52:00 UTC 2018
recon-all -s 3308 finished without error at Wed Jan  3 13:02:46 UTC 2018
