status file for recon-all
Mon Jan  8 20:04:15 UTC 2018
#@# MotionCor Mon Jan  8 20:04:25 UTC 2018
#@# Talairach Mon Jan  8 20:04:57 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 20:10:21 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 20:10:21 UTC 2018
#@# Intensity Normalization Mon Jan  8 20:18:40 UTC 2018
#@# Skull Stripping Mon Jan  8 20:24:44 UTC 2018
#@# EM Registration Mon Jan  8 21:27:45 UTC 2018
#@# CA Normalize Mon Jan  8 22:19:34 UTC 2018
#@# CA Reg Mon Jan  8 22:23:49 UTC 2018
#@# SubCort Seg Tue Jan  9 05:40:06 UTC 2018
#@# Merge ASeg Tue Jan  9 08:26:32 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 08:26:32 UTC 2018
#@# Mask BFS Tue Jan  9 08:35:59 UTC 2018
#@# WM Segmentation Tue Jan  9 08:36:04 UTC 2018
#@# Fill Tue Jan  9 08:41:14 UTC 2018
#@# Tessellate lh Tue Jan  9 08:43:20 UTC 2018
#@# Tessellate rh Tue Jan  9 08:43:37 UTC 2018
#@# Smooth1 lh Tue Jan  9 08:43:53 UTC 2018
#@# Smooth1 rh Tue Jan  9 08:44:06 UTC 2018
#@# Inflation1 lh Tue Jan  9 08:44:18 UTC 2018
#@# Inflation1 rh Tue Jan  9 08:45:38 UTC 2018
#@# QSphere lh Tue Jan  9 08:47:03 UTC 2018
#@# QSphere rh Tue Jan  9 08:55:21 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 09:03:56 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 09:03:56 UTC 2018
#@# Fix Topology lh Tue Jan  9 09:03:56 UTC 2018
#@# Fix Topology rh Tue Jan  9 09:53:14 UTC 2018
#@# Make White Surf lh Tue Jan  9 11:00:04 UTC 2018
#@# Make White Surf rh Tue Jan  9 11:12:09 UTC 2018
#@# Smooth2 lh Tue Jan  9 11:23:51 UTC 2018
#@# Smooth2 rh Tue Jan  9 11:24:05 UTC 2018
#@# Inflation2 lh Tue Jan  9 11:24:17 UTC 2018
#@# Inflation2 rh Tue Jan  9 11:25:38 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 11:27:03 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 11:30:08 UTC 2018
#@# Curvature Stats lh Tue Jan  9 11:33:18 UTC 2018
#@# Curvature Stats rh Tue Jan  9 11:33:27 UTC 2018
#@# Sphere lh Tue Jan  9 11:33:35 UTC 2018
#@# Sphere rh Tue Jan  9 13:09:12 UTC 2018
#@# Surf Reg lh Tue Jan  9 15:09:25 UTC 2018
#@# Surf Reg rh Tue Jan  9 17:00:15 UTC 2018
#@# Jacobian white lh Tue Jan  9 18:50:43 UTC 2018
#@# Jacobian white rh Tue Jan  9 18:50:48 UTC 2018
#@# AvgCurv lh Tue Jan  9 18:50:52 UTC 2018
#@# AvgCurv rh Tue Jan  9 18:50:56 UTC 2018
#@# Cortical Parc lh Tue Jan  9 18:51:00 UTC 2018
#@# Cortical Parc rh Tue Jan  9 18:51:36 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 18:52:12 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 19:24:58 UTC 2018
#@# Surf Volume lh Tue Jan  9 19:57:39 UTC 2018
#@# Surf Volume rh Tue Jan  9 19:57:47 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 19:57:55 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 20:27:45 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 20:30:56 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 20:34:10 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 20:34:53 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 20:35:40 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 20:37:19 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 20:39:02 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 20:39:41 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 20:40:19 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 20:41:52 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 20:43:35 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 20:43:50 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 20:44:05 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 20:45:08 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 20:56:46 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 21:08:02 UTC 2018
#@# APas-to-ASeg Tue Jan  9 21:19:46 UTC 2018
#@# ASeg Stats Tue Jan  9 21:20:04 UTC 2018
#@# WMParc Tue Jan  9 21:28:57 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 21:53:39 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 22:04:12 UTC 2018
recon-all -s 3551 finished without error at Tue Jan  9 22:14:47 UTC 2018
