status file for recon-all
Thu Jan  4 18:09:17 UTC 2018
#@# MotionCor Thu Jan  4 18:09:24 UTC 2018
#@# Talairach Thu Jan  4 18:09:58 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:17:28 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:17:28 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:26:55 UTC 2018
#@# Skull Stripping Thu Jan  4 18:39:11 UTC 2018
#@# EM Registration Thu Jan  4 20:23:19 UTC 2018
#@# CA Normalize Thu Jan  4 21:35:38 UTC 2018
#@# CA Reg Thu Jan  4 21:42:29 UTC 2018
#@# SubCort Seg Fri Jan  5 11:39:12 UTC 2018
#@# Merge ASeg Fri Jan  5 14:59:09 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 14:59:09 UTC 2018
#@# Mask BFS Fri Jan  5 15:08:00 UTC 2018
#@# WM Segmentation Fri Jan  5 15:08:05 UTC 2018
#@# Fill Fri Jan  5 15:13:26 UTC 2018
#@# Tessellate lh Fri Jan  5 15:15:18 UTC 2018
#@# Tessellate rh Fri Jan  5 15:15:34 UTC 2018
#@# Smooth1 lh Fri Jan  5 15:15:49 UTC 2018
#@# Smooth1 rh Fri Jan  5 15:16:03 UTC 2018
#@# Inflation1 lh Fri Jan  5 15:16:16 UTC 2018
#@# Inflation1 rh Fri Jan  5 15:17:28 UTC 2018
#@# QSphere lh Fri Jan  5 15:18:41 UTC 2018
#@# QSphere rh Fri Jan  5 15:26:18 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 15:33:43 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 15:33:43 UTC 2018
#@# Fix Topology lh Fri Jan  5 15:33:43 UTC 2018
#@# Fix Topology rh Fri Jan  5 18:55:03 UTC 2018
#@# Make White Surf lh Fri Jan  5 22:00:41 UTC 2018
#@# Make White Surf rh Fri Jan  5 22:10:24 UTC 2018
#@# Smooth2 lh Fri Jan  5 22:20:06 UTC 2018
#@# Smooth2 rh Fri Jan  5 22:20:19 UTC 2018
#@# Inflation2 lh Fri Jan  5 22:20:31 UTC 2018
#@# Inflation2 rh Fri Jan  5 22:21:49 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 22:23:09 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 22:26:20 UTC 2018
#@# Curvature Stats lh Fri Jan  5 22:29:21 UTC 2018
#@# Curvature Stats rh Fri Jan  5 22:29:30 UTC 2018
#@# Sphere lh Fri Jan  5 22:29:39 UTC 2018
#@# Sphere rh Sat Jan  6 01:43:10 UTC 2018
#@# Surf Reg lh Sat Jan  6 02:49:46 UTC 2018
#@# Surf Reg rh Sat Jan  6 05:02:35 UTC 2018
#@# Jacobian white lh Sat Jan  6 06:29:45 UTC 2018
#@# Jacobian white rh Sat Jan  6 06:29:49 UTC 2018
#@# AvgCurv lh Sat Jan  6 06:29:52 UTC 2018
#@# AvgCurv rh Sat Jan  6 06:29:55 UTC 2018
#@# Cortical Parc lh Sat Jan  6 06:29:58 UTC 2018
#@# Cortical Parc rh Sat Jan  6 06:30:28 UTC 2018
#@# Make Pial Surf lh Sat Jan  6 06:30:55 UTC 2018
#@# Make Pial Surf rh Sat Jan  6 06:58:30 UTC 2018
#@# Surf Volume lh Sat Jan  6 07:26:22 UTC 2018
#@# Surf Volume rh Sat Jan  6 07:26:31 UTC 2018
#@# Cortical ribbon mask Sat Jan  6 07:26:39 UTC 2018
#@# Parcellation Stats lh Sat Jan  6 07:49:32 UTC 2018
#@# Parcellation Stats rh Sat Jan  6 07:53:04 UTC 2018
#@# Cortical Parc 2 lh Sat Jan  6 07:56:21 UTC 2018
#@# Cortical Parc 2 rh Sat Jan  6 07:57:05 UTC 2018
#@# Parcellation Stats 2 lh Sat Jan  6 07:57:47 UTC 2018
#@# Parcellation Stats 2 rh Sat Jan  6 07:59:31 UTC 2018
#@# Cortical Parc 3 lh Sat Jan  6 08:01:08 UTC 2018
#@# Cortical Parc 3 rh Sat Jan  6 08:01:44 UTC 2018
#@# Parcellation Stats 3 lh Sat Jan  6 08:02:24 UTC 2018
#@# Parcellation Stats 3 rh Sat Jan  6 08:04:12 UTC 2018
#@# WM/GM Contrast lh Sat Jan  6 08:05:52 UTC 2018
#@# WM/GM Contrast rh Sat Jan  6 08:06:08 UTC 2018
#@# Relabel Hypointensities Sat Jan  6 08:06:21 UTC 2018
#@# AParc-to-ASeg aparc Sat Jan  6 08:07:17 UTC 2018
#@# AParc-to-ASeg a2009s Sat Jan  6 08:21:12 UTC 2018
#@# AParc-to-ASeg DKTatlas Sat Jan  6 08:33:20 UTC 2018
#@# APas-to-ASeg Sat Jan  6 08:44:15 UTC 2018
#@# ASeg Stats Sat Jan  6 08:44:27 UTC 2018
#@# WMParc Sat Jan  6 08:50:15 UTC 2018
#@# BA_exvivo Labels lh Sat Jan  6 09:09:21 UTC 2018
#@# BA_exvivo Labels rh Sat Jan  6 09:18:11 UTC 2018
recon-all -s 3440 finished without error at Sat Jan  6 09:26:39 UTC 2018
