status file for recon-all
Thu Jan  4 18:09:46 UTC 2018
#@# MotionCor Thu Jan  4 18:09:56 UTC 2018
#@# Talairach Thu Jan  4 18:10:35 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:17:32 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:17:33 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:26:24 UTC 2018
#@# Skull Stripping Thu Jan  4 18:37:31 UTC 2018
#@# EM Registration Thu Jan  4 20:44:11 UTC 2018
#@# CA Normalize Thu Jan  4 22:20:18 UTC 2018
#@# CA Reg Thu Jan  4 22:27:18 UTC 2018
#@# SubCort Seg Fri Jan  5 10:41:25 UTC 2018
#@# Merge ASeg Fri Jan  5 15:01:02 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 15:01:02 UTC 2018
#@# Mask BFS Fri Jan  5 15:09:43 UTC 2018
#@# WM Segmentation Fri Jan  5 15:09:48 UTC 2018
#@# Fill Fri Jan  5 15:16:15 UTC 2018
#@# Tessellate lh Fri Jan  5 15:18:09 UTC 2018
#@# Tessellate rh Fri Jan  5 15:18:22 UTC 2018
#@# Smooth1 lh Fri Jan  5 15:18:37 UTC 2018
#@# Smooth1 rh Fri Jan  5 15:18:51 UTC 2018
#@# Inflation1 lh Fri Jan  5 15:19:05 UTC 2018
#@# Inflation1 rh Fri Jan  5 15:20:33 UTC 2018
#@# QSphere lh Fri Jan  5 15:21:57 UTC 2018
#@# QSphere rh Fri Jan  5 15:30:19 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 15:39:14 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 15:39:14 UTC 2018
#@# Fix Topology lh Fri Jan  5 15:39:15 UTC 2018
#@# Fix Topology rh Fri Jan  5 18:18:53 UTC 2018
#@# Make White Surf lh Fri Jan  5 19:23:31 UTC 2018
#@# Make White Surf rh Fri Jan  5 19:35:37 UTC 2018
#@# Smooth2 lh Fri Jan  5 19:47:55 UTC 2018
#@# Smooth2 rh Fri Jan  5 19:48:10 UTC 2018
#@# Inflation2 lh Fri Jan  5 19:48:24 UTC 2018
#@# Inflation2 rh Fri Jan  5 19:49:54 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 19:51:17 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 19:54:33 UTC 2018
#@# Curvature Stats lh Fri Jan  5 19:57:48 UTC 2018
#@# Curvature Stats rh Fri Jan  5 19:57:59 UTC 2018
#@# Sphere lh Fri Jan  5 19:58:08 UTC 2018
#@# Sphere rh Fri Jan  5 22:04:12 UTC 2018
#@# Surf Reg lh Fri Jan  5 23:53:58 UTC 2018
#@# Surf Reg rh Sat Jan  6 01:53:39 UTC 2018
#@# Jacobian white lh Sat Jan  6 03:57:41 UTC 2018
#@# Jacobian white rh Sat Jan  6 03:57:46 UTC 2018
#@# AvgCurv lh Sat Jan  6 03:57:50 UTC 2018
#@# AvgCurv rh Sat Jan  6 03:57:54 UTC 2018
#@# Cortical Parc lh Sat Jan  6 03:57:58 UTC 2018
#@# Cortical Parc rh Sat Jan  6 03:58:40 UTC 2018
#@# Make Pial Surf lh Sat Jan  6 03:59:20 UTC 2018
#@# Make Pial Surf rh Sat Jan  6 04:34:55 UTC 2018
#@# Surf Volume lh Sat Jan  6 05:08:00 UTC 2018
#@# Surf Volume rh Sat Jan  6 05:08:08 UTC 2018
#@# Cortical ribbon mask Sat Jan  6 05:08:15 UTC 2018
#@# Parcellation Stats lh Sat Jan  6 05:38:26 UTC 2018
#@# Parcellation Stats rh Sat Jan  6 05:41:55 UTC 2018
#@# Cortical Parc 2 lh Sat Jan  6 05:45:37 UTC 2018
#@# Cortical Parc 2 rh Sat Jan  6 05:46:25 UTC 2018
#@# Parcellation Stats 2 lh Sat Jan  6 05:47:14 UTC 2018
#@# Parcellation Stats 2 rh Sat Jan  6 05:48:59 UTC 2018
#@# Cortical Parc 3 lh Sat Jan  6 05:50:41 UTC 2018
#@# Cortical Parc 3 rh Sat Jan  6 05:51:20 UTC 2018
#@# Parcellation Stats 3 lh Sat Jan  6 05:51:58 UTC 2018
#@# Parcellation Stats 3 rh Sat Jan  6 05:53:39 UTC 2018
#@# WM/GM Contrast lh Sat Jan  6 05:55:18 UTC 2018
#@# WM/GM Contrast rh Sat Jan  6 05:55:33 UTC 2018
#@# Relabel Hypointensities Sat Jan  6 05:55:47 UTC 2018
#@# AParc-to-ASeg aparc Sat Jan  6 05:56:50 UTC 2018
#@# AParc-to-ASeg a2009s Sat Jan  6 06:08:47 UTC 2018
#@# AParc-to-ASeg DKTatlas Sat Jan  6 06:20:34 UTC 2018
#@# APas-to-ASeg Sat Jan  6 06:32:11 UTC 2018
#@# ASeg Stats Sat Jan  6 06:32:29 UTC 2018
#@# WMParc Sat Jan  6 06:41:43 UTC 2018
#@# BA_exvivo Labels lh Sat Jan  6 07:06:48 UTC 2018
#@# BA_exvivo Labels rh Sat Jan  6 07:17:29 UTC 2018
recon-all -s 3443 finished without error at Sat Jan  6 07:29:22 UTC 2018
